单品编码,单品名称,分类名称,alpha,beta,r_squared,significant,samples
102900005115762,苋菜,花叶类,3.6625100888144404,-1.039621506682304,0.44204036707115,True,384
102900005118824,高瓜(1),水生根茎类,5.315526750755877,-1.9688249552256425,0.3821252132780305,True,343
102900005115786,竹叶菜,花叶类,4.330891466572451,-1.2768394850077776,0.5650477626276795,True,382
102900005115960,大白菜,花叶类,4.372743472091439,-1.1929971337270677,0.3226989344670427,True,415
102900005116509,青茄子(1),茄类,3.3050701286713378,-1.186418845096213,0.3185800623554921,True,602
102900011000328,螺丝椒,辣椒类,3.5433210162654847,-0.6899445960261608,0.17048898919620747,True,640
102900005119975,红薯尖,花叶类,3.0919535233582915,-0.6931676218959238,0.20921515324161943,True,356
102900005116899,净藕(1),水生根茎类,6.78124917402233,-1.789037829748416,0.2404695014686139,True,509
102900011011546,海鲜菇(袋)(1),食用菌,5.003391009774421,-2.2843317217951222,0.17704117911850237,True,168
102900011007969,红莲藕带,水生根茎类,7.250120222449681,-3.2529074961615256,0.17105864622565037,False,12
102900011001691,菱角,水生根茎类,2.1643590265031296,-0.47236361917507197,0.258159934549152,False,6
102900011001561,莲蓬(个),水生根茎类,4.199694400948612,-2.5592318318122635,0.2820871586655712,False,14
102900051000463,圆茄子(2),茄类,2.781839367688944,-1.1145186436965384,0.19861503269513991,True,398
106931885000035,绣球菌,食用菌,75.92319508680546,-29.68965439611275,0.19999999999999996,False,6
102900005118572,本地上海青,花叶类,2.8779074562065348,-0.8689012203427638,0.1218769911443145,True,59
102900005115854,萝卜叶,花叶类,2.563575148745729,-1.1330335841497943,0.15350012993859774,True,155
102900005122654,枝江红菜苔,花叶类,3.9097802680970175,-1.0547236080045552,0.3482877802279173,True,260
102900011008676,荠菜,花叶类,3.4626766468812105,-1.8537687811600763,0.18211289845034018,False,7
102900005115199,四川红香椿,花叶类,2.9424275842643106,-0.7531539639943206,0.1246779613120772,True,106
102900005115977,豌豆尖,花叶类,3.8763163340308573,-1.294942375286194,0.41726308418829394,True,26
102900005115748,白菜苔,花叶类,3.4142093770658954,-1.1993119125255938,0.18083180623967043,True,88
102900011022764,长线茄,茄类,3.9402741521783318,-1.0627904194156192,0.29733174086430214,True,318
102900011008133,丝瓜尖,花叶类,1.6663663745716464,-0.7258453053187903,0.3635314916513033,True,17
102900005116639,马齿苋,花叶类,0.8146116444849476,-0.46048413636014485,0.10839571571760809,True,62
102900011008515,面条菜,花叶类,4.666234882845274,-2.4573226375170636,0.21943526938198,False,15
102900011000861,红线椒,辣椒类,4.486932864755618,-1.9019848278495148,0.1327102961053076,False,20
102900011027479,小皱皮,辣椒类,4.846889516699143,-2.0276573209472817,0.2587481890830746,True,55
102900011008485,芥菜,花叶类,10.44252230139631,-4.521740304286685,0.21531964388121783,False,9
102900011029176,辣妹子,辣椒类,4.860288679070995,-1.8183828703431788,0.399873517288476,True,73
102900011030042,枝江红菜苔(份),花叶类,2.864497270465394,-1.4107291912996391,0.42784827251394253,True,26
102900011031599,杏鲍菇(份),食用菌,5.308662444657047,-3.7287821093816897,0.8074035724464482,True,9
102900011031759,红灯笼椒(份),辣椒类,1.3113850450703288,-0.7006002350318211,0.13014648122646588,False,8
102900011032213,红杭椒(份),辣椒类,2.000000899230792,-0.6672156969318838,0.1091662185567347,False,30
102900011032343,七彩椒(2),辣椒类,2.5222332145081903,-0.9558473942257771,0.2957130636188555,True,22
102900011032732,高瓜(2),水生根茎类,4.791413900644582,-1.7234232588629848,0.1326962792751758,False,14
102900011033234,红薯尖(份),花叶类,9.511177908053615,-5.293467947539199,0.6741648188250098,True,7
102900011033173,槐花,花叶类,2.504079597805109,-1.1604885762652446,0.1307227838673255,False,14
102900011033906,保康高山大白菜,花叶类,4.660521629732392,-1.5646785514322328,0.5028370789987731,False,7
102900011033920,黄心菜(2),花叶类,11.412972553106945,-4.9217020972374295,0.24695127308626474,False,7
