rmse_mean,rmse_std,rmse_cv,r2_mean,r2_std,r2_cv,mape_mean,mape_std,n_splits,is_stable,category,model
2.036200684501173,0.863505667841003,0.4240768948625391,0.9083546035314867,0.06864821994400612,0.07557425142270886,45.22263737460078,20.71781146372714,8,False,水生根茎类,RandomForest
1.903138689961558,0.6236239680349781,0.32768182794431894,0.9212363854637133,0.046142610853042554,0.05008769853237965,41.90128221014497,18.453099188417422,8,False,水生根茎类,GradientBoosting
1.8273591672453027,0.4385693151526807,0.2400017033399054,0.9268356318548694,0.032656164716833976,0.03523404068868071,55.902955316216094,33.246973659230555,8,False,水生根茎类,Huber
1.6770301788599196,0.37503100027146563,0.22362805557270238,0.8973531635834234,0.052723362876585876,0.05875430591730602,12.426615462823246,2.3533084297951525,8,False,花叶类,RandomForest
1.6502359582618273,0.33393863698994247,0.20235811327132558,0.8995619426145799,0.05329061146931428,0.05924062407755789,15.118961393570446,4.46418213053568,8,False,花叶类,GradientBoosting
3.2278832223867084,0.2503201474583818,0.07754931930214037,0.6518023937782682,0.04249973730104546,0.06520340682189801,30.471093568870057,5.8128682653056725,8,True,花叶类,Huber
6.48238104217393,1.6426345490776775,0.2533998751163824,0.21080061926583488,0.3656389009473218,1.7345247128566428,24.293060062012923,8.542581966763878,8,False,花菜类,RandomForest
6.200682790400252,1.7324177429167156,0.2793914474717024,0.2247904953043709,0.4689409337569925,2.08612429213608,22.032783083074403,7.3422091836176255,8,False,花菜类,GradientBoosting
7.256456978951341,1.8420376865970027,0.2538480817018117,-0.0646966745016673,0.6015509009559371,9.298017442307025,25.840202705173255,6.936329824194458,8,False,花菜类,Huber
2.731825326196498,0.7508625112137349,0.2748574373569416,0.309753347438283,0.4852362978532752,1.5665247404136902,52.965154324074426,38.289475140727475,8,False,茄类,RandomForest
2.5446983118300706,0.7174997361568015,0.2819586628409443,0.4062940843505131,0.3830486444191744,0.9427866408727943,46.97256694983008,33.595500907020714,8,False,茄类,GradientBoosting
2.570795593379839,0.5773702521832001,0.2245881591769211,0.44660414314227614,0.1886983091271763,0.4225180348178761,52.96545076831779,53.453291319093914,8,False,茄类,Huber
0.7779875790998421,0.19343025718347615,0.2486289754407027,0.8868183421411087,0.05241685046370956,0.059106637043714556,21.560455081790963,6.7228268319966125,8,False,辣椒类,RandomForest
0.7295262911103739,0.15674505150392723,0.21485867098328568,0.9017588988109784,0.03405841863164103,0.03776887402925582,23.12298851214712,8.704727817474389,8,False,辣椒类,GradientBoosting
0.9004968178784746,0.21921489615390133,0.24343772167455674,0.8507325397253251,0.05769746827551755,0.06782092479492674,42.16916184145866,8.60112221671355,8,False,辣椒类,Huber
1.1144431036348248,0.3629644209585562,0.3256912950672964,0.9240473446612646,0.058392447363329984,0.0631920507848165,18.24779733215928,5.989714324096292,8,False,食用菌,RandomForest
1.1241574132601206,0.3166235394744233,0.28165409303280403,0.9250530498605574,0.05318981332882354,0.05749920262610815,22.600446066642842,7.747528094465868,8,False,食用菌,GradientBoosting
1.63659435535524,0.3729140906762313,0.22785981582876,0.8503532668409377,0.08008630523662898,0.09418003954091832,41.41173935942304,13.715335828068014,8,False,食用菌,Huber
