category,best_model,test_r2,test_mae,test_rmse,test_mape,price_elasticity
茄类,random_forest,0.812211072011361,0.3537873568064844,0.5077177381473048,56.165450539771,-1.1267488246704442
食用菌,random_forest,0.8483529260806599,0.33194480412645805,0.44993042106856185,33.11865619914725,-1.290228644995915
辣椒类,random_forest,0.7869294501416593,0.484874666083357,0.6043761081443629,36.16638443984917,-2.3992112954630986
花叶类,random_forest,0.8663069527402607,0.3133605650483349,0.43152043081986147,28.649581802795616,-2.0414337770800315
水生根茎类,gradient_boosting,0.837229816652178,0.43519813035507343,0.5635218415799215,47.10801468885501,-2.6871250081484024
花菜类,random_forest,0.6665582640648824,0.3400783950173773,0.4668193860397077,35.36608468357204,-5.085180597823345
