单品编码,单品名称,分类编码,分类名称,pred_Q_p,pred_C,model_quality,is_saturday,stability_score,profit_potential,profit_potential_norm,composite_score
102900011030059,云南生菜(份),1011010101,花叶类,38.74285714285714,3.6042857142857136,0.5,1,0.5470489160642303,41.892097959183666,1.0,0.664114674819269
102900005116714,西兰花,1011010201,花菜类,15.069257142857142,7.824285714285716,0.5,1,0.6120485979125391,35.371852016326535,0.8443561850444936,0.6369214348871098
102900005115250,西峡花菇(1),1011010801,食用菌,5.548971428571428,15.599999999999998,0.5,1,0.5563826921449692,25.969186285714276,0.6199065587743204,0.5528867752757869
102900051000944,洪湖藕带,1011010402,水生根茎类,4.839771428571428,18.0,0.5,1,0.5226288005547413,26.13476571428571,0.6238590805299212,0.5439463643253988
102900011030097,云南油麦菜(份),1011010101,花叶类,25.54285714285714,2.8642857142857143,0.5,1,0.5247782126365813,21.948612244897955,0.5239320376430643,0.5146130750838936
102900011016701,芜湖青椒(1),1011010504,辣椒类,17.080114285714284,3.384285714285714,0.5,1,0.6293362396872566,17.341196032653055,0.413949094875815,0.5129856003689215
102900011031100,小米椒(份),1011010504,辣椒类,25.71428571428571,2.1357142857142857,0.5,1,0.5997074177684671,16.47551020408163,0.39328443803731333,0.49789755674173414
102900011030110,菠菜(份),1011010101,花叶类,14.57142857142857,3.9414285714285713,0.5,1,0.5689331449344024,17.229673469387752,0.4112869564607382,0.4940660304185422
102900005118831,娃娃菜,1011010101,花叶类,12.514285714285714,4.731428571428571,0.5,1,0.5451166943377519,17.76313469387755,0.42402112950238346,0.4907413471520406
102900005116257,紫茄子(2),1011010501,茄类,13.08342857142857,3.7471428571428573,0.5,1,0.6049586321525596,14.707642775510202,0.3510839392632033,0.4868127714247289
102900011034330,双孢菇(盒),1011010801,食用菌,12.0,3.402857142857143,0.5,1,0.6524305438629561,12.250285714285713,0.2924247366704198,0.4834565841600128
102900005118817,菠菜,1011010101,花叶类,5.043599999999999,8.447142857142856,0.5,1,0.5957225536211619,12.781202914285709,0.30509818168425695,0.4702462205916257
